Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Exchange
GLBZ,Glen Burnie Bancorp,10.84,$30.25M,n/a,Finance,Major Banks,NASDAQ
GBT,"Global Blood Therapeutics, Inc.",28.1,$1.23B,2015,Health Care,Major Pharmaceuticals,NASDAQ
GLBR,"Global Brokerage, Inc.",2.1,$12.9M,n/a,Finance,Investment Bankers/Brokers/Service,NASDAQ
ENT,Global Eagle Entertainment Inc.,2.835,$241.85M,2011,Consumer Services,Telecommunications Equipment,NASDAQ
GBLI,Global Indemnity Limited,38.67,$679.07M,n/a,Finance,Property-Casualty Insurers,NASDAQ
GBLIL,Global Indemnity Limited,25.38,n/a,n/a,Finance,Property-Casualty Insurers,NASDAQ
GBLIZ,Global Indemnity Limited,25.36,n/a,n/a,Finance,Property-Casualty Insurers,NASDAQ
GPAC,Global Partner Acquisition Corp.,9.93,$192.7M,2015,Health Care,Hospital/Nursing Management,NASDAQ
GPACU,Global Partner Acquisition Corp.,10.18,n/a,2015,Health Care,Hospital/Nursing Management,NASDAQ
GPACW,Global Partner Acquisition Corp.,0.265,n/a,2015,Health Care,Hospital/Nursing Management,NASDAQ
SELF,"Global Self Storage, Inc.",5.17,$39.39M,n/a,Consumer Services,Real Estate Investment Trusts,NASDAQ
GSOL,Global Sources Ltd.,20.7,$501.4M,n/a,Consumer Services,Advertising,NASDAQ
GWRS,"Global Water Resources, Inc.",9.19,$179.95M,2016,Public Utilities,Water Supply,NASDAQ
KRMA,Global X Conscious Companies ETF,17.5325,n/a,n/a,n/a,n/a,NASDAQ
FINX,Global X FinTech ETF,18.56,n/a,n/a,n/a,n/a,NASDAQ
ACTX,Global X Guru Activist ETF,15.2,n/a,n/a,n/a,n/a,NASDAQ
BFIT,Global X Health & Wellness Thematic ETF,15.817,n/a,n/a,n/a,n/a,NASDAQ
SNSR,Global X Internet of Things ETF,18.41,n/a,n/a,n/a,n/a,NASDAQ
LNGR,Global X Longevity Thematic ETF,18.26,n/a,n/a,n/a,n/a,NASDAQ
MILN,Global X Millennials Thematic ETF,17.82,$4.46M,n/a,n/a,n/a,NASDAQ
EFAS,Global X MSCI SuperDividend EAFE ETF,17.406,n/a,n/a,n/a,n/a,NASDAQ
